city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Indianapolis,http://www.zillow.com/homedetails/5641-Wooden-Branch-Dr-Indianapolis-IN-46221/61759487_zpid/,"$106,522",,46221,3 beds,,IN,5641 Wooden Branch Dr,2 baths,"1,468 sqft",
Indianapolis,http://www.zillow.com/homedetails/5322-Claybrooke-Dr-Indianapolis-IN-46221/52483483_zpid/,"$93,035",,46221,3 beds,,IN,5322 Claybrooke Dr,2 baths,"1,422 sqft",
Indianapolis,http://www.zillow.com/homedetails/7523-Dornock-Dr-Indianapolis-IN-46237/1132622_zpid/,"$103,022",,46237,3 beds,,IN,7523 Dornock Dr,2.5 baths,"1,650 sqft",
Indianapolis,http://www.zillow.com/homedetails/5531-Fair-Ridge-Pl-Indianapolis-IN-46221/61759272_zpid/,"$127,435",,46221,3 beds,,IN,5531 Fair Ridge Pl,2 baths,"2,504 sqft",
Indianapolis,http://www.zillow.com/homedetails/6708-Kentland-Way-Indianapolis-IN-46237/1136656_zpid/,"$155,781",,46237,4 beds,,IN,6708 Kentland Way,1 bath,"2,536 sqft",
Indianapolis,http://www.zillow.com/homedetails/4717-Eva-Ln-Indianapolis-IN-46227/59813800_zpid/,"$93,203",,46227,3 beds,,IN,4717 Eva Ln,2 baths,"1,981 sqft",
Indianapolis,http://www.zillow.com/homedetails/25-E-40th-St-APT-3K-Indianapolis-IN-46205/69392232_zpid/,"$93,213","$154,900",46205,2 beds,,IN,25 E 40th St APT 3K,2 baths,"1,448 sqft",(317) 478-0919 
Batesville,http://www.zillow.com/homedetails/21-White-Oak-Dr-Batesville-IN-47006/2130792842_zpid/,"$247,121","$239,000",47006,4 beds,,IN,21 White Oak Dr,2.5 baths,"3,300 sqft",
Indianapolis,http://www.zillow.com/homedetails/6340-Lawrence-Dr-Indianapolis-IN-46226/1137813_zpid/,"$871,518","$750,000",46226,5 beds,,IN,6340 Lawrence Dr,6.5 baths,"5,600 sqft",(317) 752-9958 
Indianapolis,http://www.zillow.com/homedetails/4926-E-New-York-St-Indianapolis-IN-46201/1087016_zpid/,"$72,638",,46201,3 beds,,IN,4926 E New York St,1 bath,"3,000 sqft",
Indianapolis,http://www.zillow.com/homedetails/3815-N-Butler-Ave-Indianapolis-IN-46226/1137998_zpid/,"$44,618","$68,000",46226,3 beds,,IN,3815 N Butler Ave,1 bath,"1,178 sqft",(800) 503-3450 
Attica,http://www.zillow.com/homedetails/124-David-Dr-Attica-IN-47918/85252150_zpid/,"$84,219","$87,289",47918,3 beds,,IN,124 David Dr,1 bath,"1,255 sqft",(765) 585-4648 
Lapel,http://www.zillow.com/homedetails/339-S-Woodward-St-Lapel-IN-46051/94504528_zpid/,"$125,102","$189,900",46051,5 beds,,IN,339 S Woodward St,2 baths,"2,200 sqft",(574) 835-8802 
Edinburgh,http://www.zillow.com/homedetails/110-N-Main-St-Edinburgh-IN-46124/85436289_zpid/,"$104,123","$110,000",46124,4 beds,,IN,110 N Main St,1.5 baths,"2,820 sqft",(812) 526-2317 
Dyer,http://www.zillow.com/homedetails/2666-Castlewood-Dr-Dyer-IN-46311/73285586_zpid/,"$277,323","$287,900",46311,4 beds,,IN,2666 Castlewood Dr,2.5 baths,"2,959 sqft",(219) 864-8904 
Indianapolis,http://www.zillow.com/homedetails/3808-N-Arlington-Ave-Indianapolis-IN-46226/1140545_zpid/,"$57,413","$63,000",46226,3 beds,,IN,3808 N Arlington Ave,1 bath,"1,722 sqft",(800) 503-3450 
Indianapolis,http://www.zillow.com/homedetails/2655-S-Sheridan-Ave-Indianapolis-IN-46203/1225303_zpid/,"$111,105","$127,500",46203,3 beds,,IN,2655 S Sheridan Ave,1.5 baths,"1,700 sqft",(317) 603-2792 
Tipton,http://www.zillow.com/homedetails/1034-N-Main-St-Tipton-IN-46072/85728280_zpid/,"$140,571","$219,000",46072,4 beds,,IN,1034 N Main St,2 baths,"3,500 sqft",(317) 385-4400 
Terre Haute,http://www.zillow.com/homedetails/2120-S-Center-St-Terre-Haute-IN-47802/2133950385_zpid/,"$61,027","$84,900",47802,2 beds,,IN,2120 S Center St,1 bath,"1,176 sqft",
Valparaiso,http://www.zillow.com/homedetails/3801-Hemlock-Dr-Valparaiso-IN-46383/81535892_zpid/,"$150,948","$185,000",46383,4 beds,,IN,3801 Hemlock Dr,1.75 baths,"1,820 sqft",(219) 476-5462 
Indianapolis,http://www.zillow.com/homedetails/2302-N-Kenwood-Ave-Indianapolis-IN-46208/1096099_zpid/,"$48,996","$10,000",46208,3 beds,,IN,2302 N Kenwood Ave,1 bath,"1,494 sqft",(707) 227-7070 
Frankfort,http://www.zillow.com/homedetails/505-S-Main-St-Frankfort-IN-46041/85147404_zpid/,"$121,453","$55,000",46041,3 beds,,IN,505 S Main St,1 bath,"3,057 sqft",(256) 302-0642 
Dyer,http://www.zillow.com/homedetails/1940-Hart-St-Dyer-IN-46311/73282674_zpid/,"$170,696","$219,900",46311,3 beds,,IN,1940 Hart St,2 baths,"2,158 sqft",(219) 308-9066 
Bloomington,http://www.zillow.com/homedetails/641-W-Ryan-Rd-Bloomington-IN-47403/85579560_zpid/,"$143,748","$129,500",47403,4 beds,,IN,641 W Ryan Rd,1.5 baths,"1,616 sqft",
Indianapolis,http://www.zillow.com/homedetails/650-Eugene-St-Indianapolis-IN-46208/1098756_zpid/,"$55,564","$69,900",46208,4 beds,,IN,650 Eugene St,2 baths,"1,784 sqft",(317) 507-0220 
Shelbyville,http://www.zillow.com/homedetails/334-E-Pennsylvania-St-Shelbyville-IN-46176/120247750_zpid/,"$39,139","$8,500",46176,2 beds,,IN,334 E Pennsylvania St,1 bath,876 sqft,(317) 512-2992 
Lawrenceburg,http://www.zillow.com/homedetails/21394-Foxridge-Circle-Lawrenceburg-IN-47025/97910093_zpid/,"$283,385","$249,900",47025,4 beds,,IN,21394 Foxridge Circle,4 baths,"2,517 sqft",(301) 528-9333 
Brookville,http://www.zillow.com/homedetails/5178-Big-Cedar-Rd-Brookville-IN-47012/94316746_zpid/,,"$349,900",47012,3 beds,,IN,5178 Big Cedar Rd,1 bath,"1,344 sqft",(513) 532-0250 
Elkhart,http://www.zillow.com/homedetails/1211-Kilbourn-St-Elkhart-IN-46514/50607805_zpid/,"$85,527","$95,000",46514,3 beds,,IN,1211 Kilbourn St,1.5 baths,"1,296 sqft",(574) 361-5906 
South Bend,http://www.zillow.com/homedetails/2720-Hilltop-Dr-South-Bend-IN-46614/77034543_zpid/,"$83,449","$139,999",46614,2 beds,,IN,2720 Hilltop Dr,2 baths,"1,502 sqft",(574) 360-8883 
Springfield,http://www.zillow.com/homedetails/1820-Marinette-Dr-Springfield-OH-45503/33308583_zpid/,"$84,146","$94,000",45503,3 beds,,OH,1820 Marinette Dr,1 bath,950 sqft,
Loogootee,http://www.zillow.com/homedetails/414-Fairview-St-Loogootee-IN-47553/85569338_zpid/,"$58,550","$74,500",47553,2 beds,,IN,414 Fairview St,1 bath,"1,224 sqft",(812) 617-5992 
Fort Wayne,http://www.zillow.com/homedetails/1611-Sycamore-Hills-Dr-Fort-Wayne-IN-46814/73177359_zpid/,"$460,188","$424,900",46814,4 beds,,IN,1611 Sycamore Hills Dr,4.5 baths,"5,008 sqft",(260) 348-6257 
Mason,http://www.zillow.com/homedetails/800-Majken-Pl-Mason-OH-45040/35632504_zpid/,"$152,360","$165,000",45040,3 beds,,OH,800 Majken Pl,2.5 baths,"1,914 sqft",
Columbus,http://www.zillow.com/homedetails/122-Hamilton-Ave-Columbus-OH-43203/2128882057_zpid/,"$69,302","$145,500",43203,1 bed,,OH,122 Hamilton Ave,1 bath,"1,346 sqft",
Brookville,http://www.zillow.com/homedetails/1033-Cliff-St-Brookville-IN-47012/85254993_zpid/,"$174,074","$309,900",47012,4 beds,,IN,1033 Cliff St,3.5 baths,"3,000 sqft",(812) 290-4367 
Cincinnati,http://www.zillow.com/homedetails/1331-Meier-Ave-Cincinnati-OH-45208/34212592_zpid/,"$248,143","$299,999",45208,2 beds,,OH,1331 Meier Ave,1.5 baths,"1,353 sqft",
Pataskala,http://www.zillow.com/homedetails/264-Oak-Meadow-Dr-Pataskala-OH-43062/74375429_zpid/,"$190,449","$184,900",43062,5 beds,,OH,264 Oak Meadow Dr,3 baths,"2,100 sqft",
Cleveland,http://www.zillow.com/homedetails/1510-S-Noble-Rd-Cleveland-OH-44121/33654393_zpid/,"$94,547","$80,000",44121,4 beds,,OH,1510 S Noble Rd,3 baths,"1,784 sqft",
Amelia,http://www.zillow.com/homedetails/101-E-Main-St-Amelia-OH-45102/51252812_zpid/,"$128,202",,45102,3 beds,,OH,101 E Main St,1 bath,"1,504 sqft",
Cleveland,http://www.zillow.com/homedetails/1671-Edgefield-Rd-Cleveland-OH-44124/33677381_zpid/,"$134,259","$150,000",44124,3 beds,,OH,1671 Edgefield Rd,2 baths,"1,523 sqft",
Blue Ash,http://www.zillow.com/homedetails/4536-Elsmere-Ave-Blue-Ash-OH-45242/34412237_zpid/,"$131,118","$119,000",45242,4 beds,,OH,4536 Elsmere Ave,1 bath,"1,202 sqft",(513) 984-2137 
Westerville,http://www.zillow.com/homedetails/507-Big-Rock-Ct-Westerville-OH-43082/33724919_zpid/,"$271,580","$350,000",43082,4 beds,,OH,507 Big Rock Ct,2.5 baths,"2,304 sqft",
Weston,http://www.zillow.com/homedetails/13270-Main-St-Weston-OH-43569/35690811_zpid/,"$72,827","$89,900",43569,3 beds,,OH,13270 Main St,2 baths,"1,232 sqft",(419) 345-5464 
Cincinnati,http://www.zillow.com/homedetails/2060-Maple-Ave-Cincinnati-OH-45212/34427567_zpid/,"$136,739","$178,500",45212,4 beds,,OH,2060 Maple Ave,3 baths,"2,128 sqft",
Cincinnati,http://www.zillow.com/homedetails/5024-Giles-Ct-Cincinnati-OH-45238/34319992_zpid/,"$112,117","$142,900",45238,3 beds,,OH,5024 Giles Ct,2.5 baths,"1,800 sqft",(513) 477-0676 
Dayton,http://www.zillow.com/homedetails/7448-Barr-Cir-Dayton-OH-45459/34995326_zpid/,"$136,699","$159,900",45459,3 beds,,OH,7448 Barr Cir,2 baths,"1,614 sqft",
Cleveland,http://www.zillow.com/homedetails/3780-Mayfield-Rd-Cleveland-OH-44121/33654417_zpid/,"$160,364","$165,000",44121,4 beds,,OH,3780 Mayfield Rd,1.5 baths,"2,862 sqft",
Sheffield Village,http://www.zillow.com/homedetails/5368-Apple-Creek-Dr-Sheffield-Village-OH-44054/34544782_zpid/,"$189,629","$185,000",44054,3 beds,,OH,5368 Apple Creek Dr,2.5 baths,"1,804 sqft",
Conneaut,http://www.zillow.com/homedetails/4733-Church-St-Conneaut-OH-44030/72425829_zpid/,"$74,718",,44030,3 beds,,OH,4733 Church St,3.5 baths,"1,390 sqft",
Dayton,http://www.zillow.com/homedetails/212-Fillmore-St-214-Dayton-OH-45410/35081347_zpid/,"$57,078","$37,400",45410,5 beds,,OH,212 Fillmore St # 214,3 baths,"1,938 sqft",(518) 400-2784 
Delaware,http://www.zillow.com/homedetails/296-Tar-Heel-Dr-Delaware-OH-43015/55631221_zpid/,"$176,541",,43015,4 beds,,OH,296 Tar Heel Dr,2 baths,"2,384 sqft",
Painesville,http://www.zillow.com/homedetails/9956-Johnnycake-Ridge-Rd-APT-B6-Painesville-OH-44077/34466788_zpid/,"$64,090",,44077,2 beds,,OH,9956 Johnnycake Ridge Rd APT B6,1 bath,984 sqft,
Columbus,http://www.zillow.com/homedetails/282-N-Virginialee-Rd-Columbus-OH-43209/33873672_zpid/,"$54,002",,43209,2 beds,,OH,282 N Virginialee Rd,1 bath,996 sqft,
Toledo,http://www.zillow.com/homedetails/1465-N-Superior-St-Toledo-OH-43604/34652923_zpid/,"$77,982","$65,000",43604,2 beds,,OH,1465 N Superior St,1 bath,"2,880 sqft",
Columbus,http://www.zillow.com/homedetails/1660-Duxberry-Ave-Columbus-OH-43219/33890705_zpid/,"$35,690",,43219,3 beds,,OH,1660 Duxberry Ave,1 bath,858 sqft,
Columbus,http://www.zillow.com/homedetails/224-S-Harris-Ave-Columbus-OH-43204/33849647_zpid/,"$39,825",,43204,3 beds,,OH,224 S Harris Ave,1 bath,1 sqft,
Columbus,http://www.zillow.com/homedetails/1186-Treehaven-Ln-Columbus-OH-43204/34097757_zpid/,"$102,218",,43204,3 beds,,OH,1186 Treehaven Ln,1 bath,"1,263 sqft",
Columbus,http://www.zillow.com/homedetails/754-Bevis-Rd-Columbus-OH-43202/33891538_zpid/,"$123,607",,43202,4 beds,,OH,754 Bevis Rd,2 baths,"1,308 sqft",
Columbus,http://www.zillow.com/homedetails/1898-Fenton-St-Columbus-OH-43224/33893449_zpid/,"$64,894",,43224,3 beds,,OH,1898 Fenton St,1 bath,960 sqft,
Monroe,http://www.zillow.com/homedetails/165-Britton-Ln-Monroe-OH-45050/33161666_zpid/,"$82,531",,45050,3 beds,,OH,165 Britton Ln,1 bath,"1,024 sqft",
Columbus,http://www.zillow.com/homedetails/2160-W-Lane-Ave-Columbus-OH-43221/33991244_zpid/,"$466,773","$576,000",43221,3 beds,,OH,2160 W Lane Ave,1.5 baths,"2,138 sqft",
Fairfield,http://www.zillow.com/homedetails/6060-Arcade-Dr-Fairfield-OH-45014/33149197_zpid/,"$134,173","$142,000",45014,4 beds,,OH,6060 Arcade Dr,2 baths,"1,900 sqft",
Columbus,http://www.zillow.com/homedetails/2047-Brentnell-Ave-Columbus-OH-43219/33937269_zpid/,"$46,823",,43219,3 beds,,OH,2047 Brentnell Ave,1 bath,"1,222 sqft",
Columbus,http://www.zillow.com/homedetails/1053-Cypress-Ridge-Pl-Columbus-OH-43228/34099092_zpid/,"$85,842",,43228,3 beds,,OH,1053 Cypress Ridge Pl,1 bath,"1,080 sqft",
Grove City,http://www.zillow.com/homedetails/2347-Bloxom-St-Grove-City-OH-43123/34101511_zpid/,"$123,129",,43123,3 beds,,OH,2347 Bloxom St,2.5 baths,"1,644 sqft",
Westerville,http://www.zillow.com/homedetails/6888-Bethany-Dr-Westerville-OH-43081/33945642_zpid/,"$240,353","$269,900",43081,4 beds,,OH,6888 Bethany Dr,2.5 baths,"2,334 sqft",
Cincinnati,http://www.zillow.com/homedetails/1016-Woodlawn-Ave-Cincinnati-OH-45205/34240557_zpid/,"$43,728",,45205,3 beds,,OH,1016 Woodlawn Ave,1 bath,"1,602 sqft",
Cincinnati,http://www.zillow.com/homedetails/1124-Winfield-Ave-Cincinnati-OH-45205/34242934_zpid/,Price Unknown,,45205,3 beds,,OH,1124 Winfield Ave,1 bath,"2,075 sqft",
Medina,http://www.zillow.com/homedetails/3995-Ridge-Rd-Medina-OH-44256/34882652_zpid/,"$207,801","$225,000",44256,3 beds,,OH,3995 Ridge Rd,2.5 baths,"1,837 sqft",
Medina,http://www.zillow.com/homedetails/5794-Rosemont-Way-Medina-OH-44256/67335743_zpid/,"$189,760",,44256,4 beds,,OH,5794 Rosemont Way,2 baths,"2,100 sqft",
Terrace Park,http://www.zillow.com/homedetails/621-Lexington-Ave-Terrace-Park-OH-45174/34308218_zpid/,"$510,064","$499,000",45174,4 beds,,OH,621 Lexington Ave,3.5 baths,"2,646 sqft",
Fairview Park,http://www.zillow.com/homedetails/4781-W-211th-St-Fairview-Park-OH-44126/33506555_zpid/,"$232,219","$252,000",44126,4 beds,,OH,4781 W 211th St,2 baths,"2,925 sqft",
Broadview Heights,http://www.zillow.com/homedetails/1015-Silverbrook-Ct-Broadview-Heights-OH-44147/54431045_zpid/,"$494,585","$549,000",44147,4 beds,,OH,1015 Silverbrook Ct,4.5 baths,"3,066 sqft",
Bay Village,http://www.zillow.com/homedetails/474-Huntmere-Dr-Bay-Village-OH-44140/33451284_zpid/,"$138,614","$164,997",44140,3 beds,,OH,474 Huntmere Dr,1 bath,"1,288 sqft",
Columbus,http://www.zillow.com/homedetails/1682-Park-Row-Dr-Columbus-OH-43235/2109473729_zpid/,"$67,041","$105,000",43235,2 beds,,OH,1682 Park Row Dr,2.5 baths,"1,200 sqft",
Wheelersburg,http://www.zillow.com/homedetails/2337-Dogwood-Ridge-Rd-Wheelersburg-OH-45694/78449582_zpid/,"$186,169","$133,000",45694,4 beds,,OH,2337 Dogwood Ridge Rd,2.5 baths,"2,400 sqft",(740) 574-5888 
Lancaster,http://www.zillow.com/homedetails/220-Edgewood-Ave-Lancaster-OH-43130/33814671_zpid/,"$81,566",,43130,3 beds,,OH,220 Edgewood Ave,1 bath,"1,200 sqft",
Lake Grove,http://www.zillow.com/homedetails/125-Hudson-Ave-Lake-Grove-NY-11755/59449550_zpid/,"$247,012",,11755,3 beds,,NY,125 Hudson Ave,1 bath,"1,200 sqft",
Ossining,http://www.zillow.com/homedetails/14-Croton-St-Ossining-NY-10562/33077768_zpid/,"$247,507",,10562,3 beds,,NY,14 Croton St,2 baths,"1,500 sqft",
Brooklyn,http://www.zillow.com/homedetails/2011-E-37th-St-Brooklyn-NY-11234/30785921_zpid/,"$486,047","$595,000",11234,3 beds,,NY,2011 E 37th St,3 baths,"1,008 sqft",
Far Rockaway,http://www.zillow.com/homedetails/12319-Newport-Ave-Far-Rockaway-NY-11694/32226561_zpid/,"$684,356","$695,000",11694,5 beds,,NY,12319 Newport Ave,3 baths,"2,672 sqft",
Harriman,http://www.zillow.com/homedetails/3-Lexington-Hl-UNIT-6-Harriman-NY-10926/31826348_zpid/,"$101,380",,10926,2 beds,,NY,3 Lexington Hl UNIT 6,2 baths,960 sqft,
Williamsville,http://www.zillow.com/homedetails/223-N-Long-St-Williamsville-NY-14221/30260127_zpid/,"$371,166",,14221,4 beds,,NY,223 N Long St,3 baths,"3,640 sqft",
Castleton On Hudson,http://www.zillow.com/homedetails/1413-Sunset-Rd-Castleton-On-Hudson-NY-12033/32265860_zpid/,"$267,058",,12033,4 beds,,NY,1413 Sunset Rd,3 baths,"3,000 sqft",
Freeville,http://www.zillow.com/homedetails/290-Stevens-Rd-Freeville-NY-13068/61950214_zpid/,"$246,861","$359,900",13068,3 beds,,NY,290 Stevens Rd,3 baths,"2,400 sqft",(607) 227-8539 
Alplaus,http://www.zillow.com/homedetails/329-Butterfield-Ave-Alplaus-NY-12008/32486953_zpid/,"$113,421",,12008,4 beds,,NY,329 Butterfield Ave,1 bath,"1,010 sqft",
East Hampton,http://www.zillow.com/homedetails/12-Norfolk-Dr-East-Hampton-NY-11937/32654016_zpid/,"$531,641","$449,000",11937,2 beds,,NY,12 Norfolk Dr,1 bath,"1,500 sqft",(516) 477-9097 
Forestburgh,http://www.zillow.com/homedetails/1780-Rt-42-Forestburgh-NY-12777/2101735545_zpid/,"$263,040","$245,000",12777,4 beds,,NY,1780 Rt 42,2 baths,"2,000 sqft",(917) 335-5769 
Norwich,http://www.zillow.com/homedetails/117-E-Main-St-Norwich-NY-13815/29981352_zpid/,"$114,638","$316,000",13815,5 beds,,NY,117 E Main St,1.5 baths,"1,958 sqft",
Long Beach,http://www.zillow.com/homedetails/31-Maryland-Ave-Long-Beach-NY-11561/31399579_zpid/,"$592,146","$689,000",11561,4 beds,,NY,31 Maryland Ave,3 baths,"2,200 sqft",
Palenville,http://www.zillow.com/homedetails/78-Woodstock-Ave-Palenville-NY-12463/30497186_zpid/,"$102,348","$175,000",12463,4 beds,,NY,78 Woodstock Ave,1 bath,"1,240 sqft",(845) 417-7505 
White Plains,http://www.zillow.com/homedetails/23-Old-Mamaroneck-Rd-APT-ST4-White-Plains-NY-10605/2103817142_zpid/,"$147,552","$199,999",10605,2 beds,,NY,23 Old Mamaroneck Rd APT ST4,1 bath,920 sqft,(914) 993-6234 
Walden,http://www.zillow.com/homedetails/710-State-Route-52-Walden-NY-12586/31834088_zpid/,"$330,959","$465,000",12586,5 beds,,NY,710 State Route 52,3.5 baths,"3,152 sqft",(845) 591-4724 
Jamaica,http://www.zillow.com/homedetails/10755-100th-St-Jamaica-NY-11417/32126196_zpid/,"$554,411","$699,000",11417,5 beds,,NY,10755 100th St,3 baths,"2,772 sqft",(917) 650-2647 
Staten Island,http://www.zillow.com/homedetails/741-Patterson-Ave-Staten-Island-NY-10306/32333272_zpid/,"$428,536","$399,000",10306,4 beds,,NY,741 Patterson Ave,2.75 baths,"2,900 sqft",
Dobbs Ferry,http://www.zillow.com/homedetails/84-Magnolia-Dr-Dobbs-Ferry-NY-10522/33020738_zpid/,"$1,015,707","$1,250,000",10522,3 beds,,NY,84 Magnolia Dr,2 baths,"2,350 sqft",
Ballston Spa,http://www.zillow.com/homedetails/2057-Barrett-Rd-Ballston-Spa-NY-12020/32443103_zpid/,"$180,736","$209,900",12020,2 beds,,NY,2057 Barrett Rd,1 bath,"1,336 sqft",(518) 860-0098 
Port Chester,http://www.zillow.com/homedetails/67-Haines-Blvd-Port-Chester-NY-10573/33085393_zpid/,"$438,102","$550,000",10573,4 beds,,NY,67 Haines Blvd,2 baths,"1,352 sqft",(203) 532-5045 
Day,http://www.zillow.com/homedetails/14-Abeling-Lane-Day-NY-12835/2101504659_zpid/,"$351,517","$449,900",12835,3 beds,,NY,14 Abeling Lane,1.5 baths,"1,800 sqft",(518) 641-2333 
Rochester,http://www.zillow.com/homedetails/28-Vince-Dr-Rochester-NY-14606/30917165_zpid/,"$115,725","$128,500",14606,3 beds,,NY,28 Vince Dr,1 bath,"1,634 sqft",
Bronx,http://www.zillow.com/homedetails/650-E-220th-St-Bronx-NY-10467/29826438_zpid/,"$433,790","$569,000",10467,3 beds,,NY,650 E 220th St,5 baths,"2,000 sqft",(347) 913-5997 
Hampton Bays,http://www.zillow.com/homedetails/9-Long-Ln-Hampton-Bays-NY-11946/32738436_zpid/,"$456,954","$498,000",11946,4 beds,,NY,9 Long Ln,2 baths,"1,500 sqft",(561) 289-7023 
Skaneateles,http://www.zillow.com/homedetails/4150-Jordan-Rd-Skaneateles-NY-13152/55507925_zpid/,"$177,104","$137,000",13152,5 beds,,NY,4150 Jordan Rd,2 baths,"2,300 sqft",
New Paltz,http://www.zillow.com/homedetails/104-Butterville-Rd-New-Paltz-NY-12561/32854916_zpid/,"$789,759","$1,250,000",12561,5 beds,,NY,104 Butterville Rd,3 baths,"4,250 sqft",(917) 969-9800 
Selden,http://www.zillow.com/homedetails/15-Ferndale-Ave-Selden-NY-11784/59326619_zpid/,"$215,747","$259,999",11784,2 beds,,NY,15 Ferndale Ave,1.5 baths,-- sqft,(631) 687-0200 
Jamaica,http://www.zillow.com/homedetails/24141-86th-Ave-Jamaica-NY-11426/32091257_zpid/,"$659,903","$999,999",11426,6 beds,,NY,24141 86th Ave,4.5 baths,810 sqft,(347) 871-4151 
Gloversville,http://www.zillow.com/homedetails/179-Vandenburgh-Point-Rd-Gloversville-NY-12078/30468234_zpid/,,"$399,999",12078,Studio,,NY,179 Vandenburgh Point Rd,2 baths,"3,246 sqft",(518) 265-8340 
Lockport,http://www.zillow.com/homedetails/41-Crosby-Ave-Lockport-NY-14094/31430848_zpid/,"$75,327","$62,000",14094,4 beds,,NY,41 Crosby Ave,1 bath,"1,098 sqft",(716) 256-0074 
Jamaica,http://www.zillow.com/homedetails/11112-153rd-St-Jamaica-NY-11433/32185060_zpid/,"$565,745","$629,000",11433,7 beds,,NY,11112 153rd St,6 baths,"2,200 sqft",(516) 993-9469 
Massapequa,http://www.zillow.com/homedetails/66-Sunset-Rd-Massapequa-NY-11758/31428286_zpid/,"$495,292","$469,999",11758,3 beds,,NY,66 Sunset Rd,2 baths,"1,527 sqft",
Smithtown,http://www.zillow.com/homedetails/75A-Burlington-Blvd-Smithtown-NY-11787/32699644_zpid/,"$351,675","$429,000",11787,2 beds,,NY,75A Burlington Blvd,1.5 baths,"1,200 sqft",(631) 805-2385 
Newburgh,http://www.zillow.com/homedetails/114-Bush-Ln-PRIVATE-Newburgh-NY-12550/2101364299_zpid/,"$237,856","$355,000",12550,4 beds,,NY,114 Bush Ln # PRIVATE,2.5 baths,"2,717 sqft",(845) 337-6259 
Jamaica,http://www.zillow.com/homedetails/148-Street-And-Rockaway-Blvd-Jamaica-NY-11436/2101333415_zpid/,"$383,650","$379,000",11436,3 beds,,NY,148 Street And Rockaway Blvd,2.5 baths,-- sqft,(917) 699-5754 
Lake Luzerne,http://www.zillow.com/homedetails/866-E-River-Dr-Lake-Luzerne-NY-12846/59940843_zpid/,"$156,603","$174,000",12846,2 beds,,NY,866 E River Dr,1 bath,650 sqft,
Cornwall,http://www.zillow.com/homedetails/116-Manor-Drive-Cornwall-NY-12518/2101450127_zpid/,"$120,212","$96,000",12518,2 beds,,NY,116 Manor Drive,1 bath,750 sqft,(914) 805-0262 
Brooklyn,http://www.zillow.com/homedetails/362-East-59th-Street-Brooklyn-NY-11203/2101329225_zpid/,"$464,682","$459,000",11203,3 beds,,NY,362 East 59th Street,1.5 baths,"1,636 sqft",(917) 913-8369 
Brooklyn,http://www.zillow.com/homedetails/23x-E-55th-Street-Brooklyn-NY-11203/2101326476_zpid/,"$592,319","$569,000",11203,5 beds,,NY,23x E 55th Street,3.5 baths,"2,225 sqft",
Cortland,http://www.zillow.com/homedetails/38-Owego-Street-Cortland-NY-13045/2101363309_zpid/,"$262,850","$2,700,000",13045,38 beds,,NY,38 Owego Street,13 baths,"19,000 sqft",(607) 745-4645 
Millport,http://www.zillow.com/homedetails/112-Lower-Middle-Rd-Millport-NY-14864/29979376_zpid/,"$119,543","$119,900",14864,2 beds,,NY,112 Lower Middle Rd,1 bath,"1,500 sqft",
Hillcrest,http://www.zillow.com/homedetails/82-65-165-St-Hillcrest-NY-11432/2101325849_zpid/,"$586,399","$729,000",11432,3 beds,,NY,82-65 165 St,3 baths,"1,700 sqft",(917) 567-6860 
Brooklyn,http://www.zillow.com/homedetails/Sheepshead-Bay-Brooklyn-NY-11235/2104957216_zpid/,"$415,259","$165,000",11235,2 beds,,NY,Sheepshead Bay,1 bath,900 sqft,(917) 586-2816 
Lake Placid,http://www.zillow.com/homedetails/371-Mirror-Lake-Dr-Lake-Placid-NY-12946/30429595_zpid/,"$967,406","$825,000",12946,5 beds,,NY,371 Mirror Lake Dr,3 baths,"3,850 sqft",(518) 524-2595 
Windham,http://www.zillow.com/homedetails/523-County-Route-21-Windham-NY-12496/30507662_zpid/,"$338,272","$399,000",12496,5 beds,,NY,523 County Route 21,3 baths,"3,200 sqft",(518) 821-8822 
Kingston,http://www.zillow.com/homedetails/129-Jansen-Ave-Kingston-NY-12401/2124144061_zpid/,,"$163,000",12401,6 beds,,NY,129 Jansen Ave,3 baths,"2,200 sqft",(845) 331-8258 
White Plains,http://www.zillow.com/homedetails/93-Prospect-Ave-White-Plains-NY-10607/33031846_zpid/,"$503,910",,10607,6 beds,,NY,93 Prospect Ave,4 baths,"2,342 sqft",
Lake Placid,http://www.zillow.com/homedetails/205-Mckinley-St-Lake-Placid-NY-12946/30426479_zpid/,"$185,108","$215,000",12946,3 beds,,NY,205 Mckinley St,1 bath,"1,200 sqft",(609) 731-3972 
Sharon Springs,http://www.zillow.com/homedetails/173-177-Main-St-Sharon-Springs-NY-13459/2104956415_zpid/,"$149,100","$250,000",13459,6 beds,,NY,173-177 Main St,4 baths,"4,500 sqft",(518) 282-4774 
Hartsdale,http://www.zillow.com/homedetails/100-High-Point-Dr-APT-406-Hartsdale-NY-10530/2114089126_zpid/,"$273,141","$299,000",10530,1 bed,,NY,100 High Point Dr APT 406,1 bath,"1,000 sqft",(914) 471-7778 
Newburgh,http://www.zillow.com/homedetails/25-Leroy-Pl-Newburgh-NY-12550/31792740_zpid/,"$356,000","$445,500",12550,6 beds,,NY,25 Leroy Pl,4.5 baths,"4,360 sqft",
