city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Long Beach,http://www.zillow.com/homedetails/(Undisclosed-Address)-Long-Beach-NY-11561/2140672875_zpid/,"$536,843","$219,000",11561,1 bed,,NY,(Undisclosed Address),1 bath,-- sqft,(516) 491-7177 
Mastic Beach,http://www.zillow.com/homedetails/17-Ann-Rd-Mastic-Beach-NY-11951/59540486_zpid/,"$352,909","$260,000",11951,4 beds,,NY,17 Ann Rd,2 baths,"2,388 sqft",
Johnstown,http://www.zillow.com/homedetails/195-Wilson-St-Johnstown-PA-15906/78563856_zpid/,"$36,432","$70,000",15906,3 beds,,PA,195 Wilson St,1 bath,"1,100 sqft",(646) 623-8900 
Queens,http://www.zillow.com/homedetails/117-10-195-St-Queens-NY-11412/2101168850_zpid/,,"$589,000",11412,5 beds,,NY,117-10 195 St,5 baths,-- sqft,(646) 573-8893 
Bronx,http://www.zillow.com/homedetails/83-D-Edgewater-Park-Bronx-NY-10465/2100856853_zpid/,,"$285,000",10465,3 beds,,NY,83-D Edgewater Park,1.5 baths,"1,300 sqft",(347) 231-0376 
Jamaica,http://www.zillow.com/homedetails/17348-103rd-Rd-Jamaica-NY-11433/32140292_zpid/,"$326,892","$415,000",11433,3 beds,,NY,17348 103rd Rd,2 baths,864 sqft,(347) 236-7333 
Brooklyn,http://www.zillow.com/homedetails/362-East-59th-Street-Brooklyn-NY-11203/2101329225_zpid/,"$464,682","$459,000",11203,3 beds,,NY,362 East 59th Street,1.5 baths,"1,636 sqft",(917) 913-8369 
Bronx,http://www.zillow.com/homedetails/1735-Wallace-Avenue-Bronx-NY-10462/2100855107_zpid/,,"$429,000",10462,3 beds,,NY,1735 Wallace Avenue,1 bath,-- sqft,(516) 423-6755 
Brooklyn,http://www.zillow.com/homedetails/735-Hendrix-St-Brooklyn-NY-11207/30647055_zpid/,"$661,428","$650,000",11207,6 beds,,NY,735 Hendrix St,3 baths,"2,562 sqft",(347) 236-7333 
Altoona,http://www.zillow.com/homedetails/304-Logan-Blvd-Altoona-PA-16602/86401501_zpid/,"$143,925","$220,000",16602,4 beds,,PA,304 Logan Blvd,3 baths,"1,400 sqft",(724) 719-0520 
New York,http://www.zillow.com/homedetails/145-E-15th-St-APT-16A-New-York-NY-10003/72516823_zpid/,"$771,829","$749,000",10003,1 bed,,NY,145 E 15th St APT 16A,1 bath,650 sqft,
Roslyn Heights,http://www.zillow.com/homedetails/42-Edwards-Street-2C-Roslyn-Heights-NY-11577/2101080207_zpid/,"$1,886,052","$199,000",11577,1 bed,,NY,42 Edwards Street #2C,1 bath,-- sqft,
Allentown,http://www.zillow.com/homedetails/2823-Hamilton-Blvd-Allentown-PA-18104/9610334_zpid/,"$237,462","$274,899",18104,3 beds,,PA,2823 Hamilton Blvd,2.5 baths,"2,096 sqft",(610) 393-1801 
Rockford,http://www.zillow.com/homedetails/409-S-1ST-St-Rockford-WA-99030/23589748_zpid/,"$151,209","$124,895",99030,4 beds,,WA,409 S 1ST St,2 baths,"2,700 sqft",(509) 370-1896 
Tacoma,http://www.zillow.com/homedetails/537-Lake-Louise-Dr-SW-Tacoma-WA-98498/49262623_zpid/,"$286,971","$399,950",98498,3 beds,,WA,537 Lake Louise Dr SW,2 baths,"1,200 sqft",(253) 380-2958 
Brooklyn,http://www.zillow.com/homedetails/10015-Avenue-N-1-Brooklyn-NY-11236/2100852702_zpid/,"$401,875","$375,000",11236,3 beds,,NY,10015 Avenue N # 1,1 bath,-- sqft,(718) 360-9292 
New Rochelle,http://www.zillow.com/homedetails/121-Pinebrook-Blvd-New-Rochelle-NY-10804/32959473_zpid/,"$1,330,580","$1,199,999",10804,4 beds,,NY,121 Pinebrook Blvd,4 baths,"4,000 sqft",(914) 595-6663 
Jamaica,http://www.zillow.com/homedetails/14618-130th-Ave-Jamaica-NY-11436/32184543_zpid/,"$467,997","$489,000",11436,5 beds,,NY,14618 130th Ave,2 baths,"1,312 sqft",(347) 995-5328 
Sleepy Hollow,http://www.zillow.com/homedetails/63-Sleepy-Hollow-Rd-Sleepy-Hollow-NY-10591/33052618_zpid/,"$671,668","$650,000",10591,4 beds,,NY,63 Sleepy Hollow Rd,3 baths,"1,848 sqft",(914) 332-0828 
Forest Hills,http://www.zillow.com/homedetails/7025-Yellowstone-Blvd-APT-14U-Forest-Hills-NY-11375/79743441_zpid/,"$192,755","$429,000",11375,1 bed,,NY,7025 Yellowstone Blvd APT 14U,1 bath,-- sqft,(917) 686-2424 
Brooklyn,http://www.zillow.com/homedetails/31-1st-Pl-APT-2-Brooklyn-NY-11231/82803453_zpid/,"$886,614","$930,000",11231,1 bed,,NY,31 1st Pl APT 2,1 bath,-- sqft,
Jamaica,http://www.zillow.com/homedetails/13807-97th-Ave-Jamaica-NY-11435/32136535_zpid/,"$530,693","$799,000",11435,7 beds,,NY,13807 97th Ave,3 baths,"2,168 sqft",(347) 995-5328 
New York,http://www.zillow.com/homedetails/141-Wooster-St-APT-8D-New-York-NY-10012/2133170475_zpid/,"$1,936,197","$1,875,000",10012,1 bed,,NY,141 Wooster St APT 8D,2 baths,"1,200 sqft",
Queens,http://www.zillow.com/homedetails/243-39-Mayda-Rd-Queens-NY-11422/2100959225_zpid/,"$481,399","$449,000",11422,4 beds,,NY,243-39 Mayda Rd,2.5 baths,-- sqft,(646) 573-8893 
Dingmans Ferry,http://www.zillow.com/homedetails/150-Westwood-Dr-Dingmans-Ferry-PA-18328/2105115289_zpid/,"$114,101","$237,500",18328,3 beds,,PA,150 Westwood Dr,2 baths,"2,600 sqft",(800) 843-6963 
Williamson,http://www.zillow.com/homedetails/4043-Rasmussen-St-Williamson-NY-14589/32917171_zpid/,"$110,932","$154,900",14589,3 beds,,NY,4043 Rasmussen St,2.5 baths,"1,920 sqft",(585) 509-9500 
Setauket,http://www.zillow.com/homedetails/4-Yorktown-Rd-Setauket-NY-11733/59470386_zpid/,"$491,232","$449,000",11733,5 beds,,NY,4 Yorktown Rd,4 baths,-- sqft,(631) 922-1618 
Liberty,http://www.zillow.com/homedetails/138-Champlin-Ave-Liberty-NY-12754/32772593_zpid/,"$87,252","$120,000",12754,3 beds,,NY,138 Champlin Ave,2 baths,"1,752 sqft",(845) 665-6795 
Valencia,http://www.zillow.com/homedetails/324-Leslie-Rd-Valencia-PA-16059/93521418_zpid/,"$470,102","$705,000",16059,3 beds,,PA,324 Leslie Rd,3.5 baths,"2,980 sqft",(412) 999-8039 
Bronx,http://www.zillow.com/homedetails/2184-Virgil-Pl-Bronx-NY-10473/2100944816_zpid/,"$534,531","$649,000",10473,7 beds,,NY,2184 Virgil Pl,3 baths,"3,026 sqft",
Delhi,http://www.zillow.com/homedetails/63-Lee-Hollow-Rd-Delhi-NY-13753/30056488_zpid/,"$130,065","$192,000",13753,3 beds,,NY,63 Lee Hollow Rd,2.5 baths,"1,490 sqft",(607) 765-4843 
Riverdale,http://www.zillow.com/homedetails/555-Kappock-St-Riverdale-NY-10463/2101321976_zpid/,,"$245,000",10463,2 beds,,NY,555 Kappock St.,1 bath,-- sqft,(347) 202-5899 
East Syracuse,http://www.zillow.com/homedetails/114-Revere-Ave-East-Syracuse-NY-13057/31722668_zpid/,"$105,115","$119,950",13057,3 beds,,NY,114 Revere Ave,2 baths,"1,450 sqft",(315) 278-8778 
Queens,http://www.zillow.com/homedetails/107-12-Wren-Place-Queens-NY-11433/2101166518_zpid/,"$390,455","$369,000",11433,3 beds,,NY,107-12 Wren Place,2.5 baths,-- sqft,(646) 573-8893 
Patchogue,http://www.zillow.com/homedetails/19-Milton-Ct-Patchogue-NY-11772/59444939_zpid/,"$2,447,408","$119,000",11772,3 beds,,NY,19 Milton Ct,1 bath,"1,431 sqft",(347) 200-7505 
Queens,http://www.zillow.com/homedetails/116-05-Nashville-Queens-NY-11411/2101166718_zpid/,"$522,368","$559,000",11411,5 beds,,NY,116-05 Nashville,4 baths,-- sqft,(646) 573-8893 
Kew Gardens Hills,http://www.zillow.com/homedetails/13711-Jewel-Ave-Kew-Gardens-Hills-NY-11367/2102763442_zpid/,,"$173,000",11367,1 bed,,NY,13711 Jewel Ave,1 bath,725 sqft,
Woodside,http://www.zillow.com/homedetails/30-15-Hobart-Street-Woodside-NY-11377/2101048462_zpid/,"$309,992","$269,000",11377,1 bed,,NY,30-15 Hobart Street,1 bath,600 sqft,(718) 683-6499 
Queens,http://www.zillow.com/homedetails/137-21-96-Place-Queens-NY-11417/2101167356_zpid/,"$560,716","$585,000",11417,5 beds,,NY,137-21 96 Place,3 baths,-- sqft,(646) 573-8893 
Port Byron,http://www.zillow.com/homedetails/8454-W-Loop-Rd-Port-Byron-NY-13140/30045921_zpid/,"$124,311","$163,000",13140,3 beds,,NY,8454 W Loop Rd,2 baths,"1,400 sqft",(315) 730-8275 
Glebdale,http://www.zillow.com/homedetails/7356-71st-Street-2-Glebdale-NY-11385/2101031473_zpid/,"$595,111","$589,999",11385,5 beds,,NY,7356 71st Street #2,2 baths,"1,450 sqft",(718) 790-0640 
West Seneca,http://www.zillow.com/homedetails/47-Klink-Pl-West-Seneca-NY-14224/30408555_zpid/,"$99,783","$159,900",14224,3 beds,,NY,47 Klink Pl,2 baths,"1,176 sqft",(716) 984-4952 
New City,http://www.zillow.com/homedetails/9-Randy-Ln-New-City-NY-10956/53402825_zpid/,"$475,096","$429,000",10956,4 beds,,NY,9 Randy Ln,2.5 baths,"1,848 sqft",(845) 786-0084 
Kings Point,http://www.zillow.com/homedetails/44-Martin-Ct-Kings-Point-NY-11024/31064761_zpid/,"$4,355,463","$5,000,000",11024,7 beds,,NY,44 Martin Ct,6.5 baths,"8,000 sqft",(917) 439-3455 
Lourelton,http://www.zillow.com/homedetails/133-07-231-Street-Lourelton-NY-11413/2101282606_zpid/,"$415,729","$469,000",11413,3 beds,,NY,133-07 231 Street,2.5 baths,-- sqft,(917) 439-5858 
Copiague,http://www.zillow.com/homedetails/259-Waldo-St-Copiague-NY-11726/32639183_zpid/,"$241,259","$310,000",11726,3 beds,,NY,259 Waldo St,1 bath,-- sqft,
Bronx,http://www.zillow.com/homedetails/1071-Intervale-Ave-Bronx-NY-10459/83178753_zpid/,"$528,881","$495,000",10459,7 beds,,NY,1071 Intervale Ave,3 baths,"3,312 sqft",
Sacramento,http://www.zillow.com/homedetails/3843-Garden-Hwy-Sacramento-CA-95834/26011257_zpid/,"$1,016,292","$1,149,500",95834,3 beds,,CA,3843 Garden Hwy,3 baths,"2,416 sqft",(559) 964-7273 
Lake Grove,http://www.zillow.com/homedetails/26-Beech-St-Lake-Grove-NY-11755/59449619_zpid/,"$331,378","$347,000",11755,3 beds,,NY,26 Beech St,2 baths,"1,450 sqft",
New York,http://www.zillow.com/homedetails/105-E-15th-St-APT-72-New-York-NY-10003/2102095799_zpid/,"$2,101,870","$1,000,000",10003,1 bed,,NY,105 E 15th St APT 72,1 bath,500 sqft,
Branson,http://www.zillow.com/homedetails/206-Devonshire-Dr-Branson-MO-65616/106916434_zpid/,"$225,874","$229,000",65616,4 beds,,MO,206 Devonshire Dr,3 baths,"2,945 sqft",(972) 984-0405 
Royal Oaks,http://www.zillow.com/homedetails/85-Oak-Rd-Royal-Oaks-CA-95076/19360581_zpid/,"$463,963","$475,000",95076,3 beds,,CA,85 Oak Rd,2 baths,"1,659 sqft",(916) 410-0044 
Staten Island,http://www.zillow.com/homedetails/945-Forest-Hill-Rd-Staten-Island-NY-10314/32307863_zpid/,"$660,058","$889,000",10314,4 beds,,NY,945 Forest Hill Rd,3 baths,"2,500 sqft",(917) 731-8441 
Kansas City,http://www.zillow.com/homedetails/2-W-52nd-St-Kansas-City-MO-64112/2351327_zpid/,"$394,379","$529,000",64112,5 beds,,MO,2 W 52nd St,2 baths,"3,300 sqft",(816) 531-2221 
Saint Louis,http://www.zillow.com/homedetails/7721-Michigan-Ave-Saint-Louis-MO-63111/2958008_zpid/,"$105,551","$99,000",63111,3 beds,,MO,7721 Michigan Ave,2 baths,"1,658 sqft",
Lansdale,http://www.zillow.com/homedetails/225-S-Line-St-Lansdale-PA-19446/9861348_zpid/,"$540,141","$950,000",19446,8 beds,,PA,225 S Line St,4.25 baths,"6,800 sqft",
Henderson,http://www.zillow.com/homedetails/100-N-Main-Henderson-IL-61439/2100815522_zpid/,"$97,208","$57,800",61439,3 beds,,IL,100 N Main,2 baths,"2,200 sqft",
Sidney,http://www.zillow.com/homedetails/1112-Colonial-Dr-Sidney-OH-45365/75117055_zpid/,"$73,478","$79,900",45365,3 beds,,OH,1112 Colonial Dr,1 bath,950 sqft,(937) 489-9080 
Woodmere,http://www.zillow.com/homedetails/120-Pine-St-Woodmere-NY-11598/31254057_zpid/,"$1,033,874","$1,595,000",11598,7 beds,,NY,120 Pine St,5 baths,"3,173 sqft",(646) 422-9971 
Philadelphia,http://www.zillow.com/homedetails/(Undisclosed-Address)-Philadelphia-PA-19145/2100865820_zpid/,"$125,399","$75,000",19145,2 beds,,PA,(Undisclosed Address),2 baths,896 sqft,(215) 806-9196 
Beaver Springs,http://www.zillow.com/homedetails/970-Snyder-Ave-2-Beaver-Springs-PA-17812/2100868116_zpid/,"$123,153","$115,000",17812,3 beds,,PA,970 Snyder Ave # 2,1.5 baths,"1,392 sqft",(570) 541-2918 
Brook Park,http://www.zillow.com/homedetails/5765-Doris-Drive-Brook-Park-OH-44142/2101789190_zpid/,"$91,977","$119,900",44142,3 beds,,OH,5765 Doris Drive,2 baths,936 sqft,(734) 788-4647 
Batavia,http://www.zillow.com/homedetails/1179-Creekstone-Dr-Batavia-OH-45103/51284760_zpid/,"$181,030","$189,900",45103,3 beds,,OH,1179 Creekstone Dr,2.5 baths,"1,670 sqft",(513) 515-0129 
Chagrin Falls,http://www.zillow.com/homedetails/1115-E-Washington-St-Chagrin-Falls-OH-44022/2101807949_zpid/,"$457,132","$309,999",44022,4 beds,,OH,1115 E Washington St,2 baths,"2,400 sqft",(440) 823-8152 
Coldwater,http://www.zillow.com/homedetails/623-Plum-Dr-Coldwater-OH-45828/86580005_zpid/,"$168,341","$165,000",45828,4 beds,,OH,623 Plum Dr,2.5 baths,"1,560 sqft",(419) 852-8122 
Auburn,http://www.zillow.com/homedetails/29-Wegman-St-Auburn-NY-13021/30050675_zpid/,"$178,162","$235,000",13021,3 beds,,NY,29 Wegman St,3 baths,"2,016 sqft",(315) 559-5028 
Cincinnati,http://www.zillow.com/homedetails/7340-Osceola-Dr-Cincinnati-OH-45243/34310602_zpid/,"$173,664","$219,000",45243,4 beds,,OH,7340 Osceola Dr,2 baths,"1,900 sqft",
Woodhaven,http://www.zillow.com/homedetails/89-92st-Woodhaven-NY-11421/2100535665_zpid/,"$747,739","$553,000",11421,-- beds,,NY,89 92st.,3 baths,-- sqft,(718) 300-7057 
Boston,http://www.zillow.com/homedetails/6537-Valley-View-Ln-Boston-NY-14025/30274593_zpid/,"$122,312","$174,900",14025,3 beds,,NY,6537 Valley View Ln,2 baths,"1,468 sqft",(716) 226-6363 
Bronx,http://www.zillow.com/homedetails/637-E-233rd-St-Bronx-NY-10466/29836525_zpid/,"$361,041","$579,000",10466,7 beds,,NY,637 E 233rd St,4 baths,"3,000 sqft",(646) 884-4974 
Staten Island,http://www.zillow.com/homedetails/(Undisclosed-Address)-Staten-Island-NY-10314/2100540938_zpid/,"$646,548","$779,000",10314,5 beds,,NY,(Undisclosed Address),3 baths,"2,300 sqft",(718) 442-8600 
Bronx,http://www.zillow.com/homedetails/735-Taylor-Avenue-Bronx-NY-10473/2100542220_zpid/,"$387,353","$379,000",10473,5 beds,,NY,735 Taylor Avenue.,3 baths,"1,994 sqft",
Cleveland,http://www.zillow.com/homedetails/4900-Whiskey-Is-Cleveland-OH-44102/2102318098_zpid/,"$107,701","$17,000",44102,-- beds,,OH,4900 Whiskey Is,-- baths,-- sqft,(419) 708-1561 
Bronxville,http://www.zillow.com/homedetails/1000-Palmer-Road-BLDG-3-Bronxville-NY-10708/2100852662_zpid/,"$494,875","$289,000",10708,2 beds,,NY,1000 Palmer Road #BLDG. 3,1 bath,"1,100 sqft",(914) 548-9310 
Croton On Hudson,http://www.zillow.com/homedetails/198-Colabaugh-Pond-Rd-Croton-On-Hudson-NY-10520/58417880_zpid/,"$651,933","$555,000",10520,2 beds,,NY,198 Colabaugh Pond Rd,3 baths,"2,700 sqft",
Bronx,http://www.zillow.com/homedetails/2400-Johnson-Ave-APT-7B-Bronx-NY-10463/2100850209_zpid/,"$318,825","$200,000",10463,1 bed,,NY,2400 Johnson Ave APT 7B,1 bath,740 sqft,(201) 966-5228 
Brooklyn,http://www.zillow.com/homedetails/841-Hancock-St-6-Brooklyn-NY-11233/2100596141_zpid/,"$1,071,431","$1,499,000",11233,5 beds,,NY,841 Hancock St # 6,3.5 baths,"2,200 sqft",(917) 717-9570 
North Tonawanda,http://www.zillow.com/homedetails/26-1st-Ave-North-Tonawanda-NY-14120/31461106_zpid/,"$56,294","$59,900",14120,3 beds,,NY,26 1st Ave,1 bath,"1,040 sqft",
Unadilla,http://www.zillow.com/homedetails/23-Sperry-St-Unadilla-NY-13849/31639674_zpid/,"$131,000","$249,000",13849,8 beds,,NY,23 Sperry St,2 baths,"2,880 sqft",(607) 267-2536 
Bronx,http://www.zillow.com/homedetails/3215-Olinville-Ave-APT-2A-Bronx-NY-10467/2100604699_zpid/,"$189,119","$89,000",10467,Studio,,NY,3215 Olinville Ave APT 2A,1 bath,500 sqft,(917) 293-7727 
Cincinnati,http://www.zillow.com/homedetails/5024-Giles-Ct-Cincinnati-OH-45238/34319992_zpid/,"$112,117","$142,900",45238,3 beds,,OH,5024 Giles Ct,2.5 baths,"1,800 sqft",(513) 477-0676 
Bellville,http://www.zillow.com/homedetails/72-Fitting-Ave-Bellville-OH-44813/2110989262_zpid/,"$193,495","$199,000",44813,5 beds,,OH,72 Fitting Ave,4 baths,"2,900 sqft",(567) 772-0177 
Glens Falls,http://www.zillow.com/homedetails/9-Chester-St-1-Glens-Falls-NY-12801/2116493891_zpid/,"$146,551","$170,000",12801,3 beds,,NY,9 Chester St # 1,2 baths,"1,700 sqft",
Lewiston,http://www.zillow.com/homedetails/125-S-5th-St-Lewiston-NY-14092/60193576_zpid/,"$320,260","$525,000",14092,7 beds,,NY,125 S 5th St,6 baths,"3,541 sqft",(716) 946-5547 
Wheelersburg,http://www.zillow.com/homedetails/2337-Dogwood-Ridge-Rd-Wheelersburg-OH-45694/78449582_zpid/,"$186,169","$133,000",45694,4 beds,,OH,2337 Dogwood Ridge Rd,2.5 baths,"2,400 sqft",(740) 574-5888 
Ridge,http://www.zillow.com/homedetails/134-E-Ridge-NY-11961/2100628422_zpid/,"$362,658","$119,999",11961,2 beds,,NY,134 #E,1 bath,-- sqft,(201) 403-1088 
Williamsville,http://www.zillow.com/homedetails/42-Chapel-Woods-Williamsville-NY-14221/54462022_zpid/,"$405,406","$399,000",14221,5 beds,,NY,42 Chapel Woods,4 baths,"3,566 sqft",(716) 474-7224 
Lima,http://www.zillow.com/homedetails/56-Green-Village-Dr-Lima-NY-14485/2100627114_zpid/,"$122,391","$27,000",14485,3 beds,,NY,56 Green Village Dr,2 baths,"1,500 sqft",(404) 713-2551 
Mount Vernon,http://www.zillow.com/homedetails/485-E-Lincoln-Ave-APT-310-Mount-Vernon-NY-10552/2118427582_zpid/,"$106,405","$58,999",10552,1 bed,,NY,485 E Lincoln Ave APT 310,1 bath,700 sqft,(917) 930-5649 
Middleburgh,http://www.zillow.com/homedetails/112-Wells-Ave-Middleburgh-NY-12122/32524141_zpid/,"$106,053","$159,900",12122,3 beds,,NY,112 Wells Ave,2 baths,"1,900 sqft",(518) 703-5835 
Corning,http://www.zillow.com/homedetails/8400-Millertown-Rd-SE-Corning-OH-43730/2109151527_zpid/,"$61,760","$62,000",43730,2 beds,,OH,8400 Millertown Rd SE,1 bath,"1,040 sqft",(740) 819-7078 
Flushing,http://www.zillow.com/homedetails/6222-Myrtle-Ave-Flushing-NY-11385/32012305_zpid/,"$866,292","$1,625,000",11385,6 beds,,NY,6222 Myrtle Ave,3 baths,"3,135 sqft",
Yonkers,http://www.zillow.com/homedetails/225-Concord-Rd-Yonkers-NY-10710/32993851_zpid/,"$485,052","$449,000",10710,4 beds,,NY,225 Concord Rd,2 baths,"2,186 sqft",(914) 772-1780 
Weston,http://www.zillow.com/homedetails/13270-Main-St-Weston-OH-43569/35690811_zpid/,"$72,827","$89,900",43569,3 beds,,OH,13270 Main St,2 baths,"1,232 sqft",(419) 345-5464 
Philadelphia,http://www.zillow.com/homedetails/2030-E-York-St-Philadelphia-PA-19125/10325660_zpid/,"$123,186","$349,900",19125,4 beds,,PA,2030 E York St,1.5 baths,"1,190 sqft",(215) 696-4628 
Jamaica,http://www.zillow.com/homedetails/19711-Jamaica-Ave-Jamaica-NY-11423/32144756_zpid/,"$346,405","$589,000",11423,Studio,,NY,19711 Jamaica Ave,2 baths,"1,920 sqft",(917) 683-3048 
Glen Rock,http://www.zillow.com/homedetails/10973-Centerville-Ln-Glen-Rock-PA-17327/60463227_zpid/,"$167,784","$109,900",17327,3 beds,,PA,10973 Centerville Ln,2 baths,"1,464 sqft",(717) 309-5808 
Maple Park,http://www.zillow.com/homedetails/203-Summer-St-Maple-Park-IL-60151/4647868_zpid/,"$155,147","$353,900",60151,4 beds,,IL,203 Summer St,2 baths,"1,600 sqft",(630) 362-3733 
Chicago,http://www.zillow.com/homedetails/2955-N-Kedzie-Ave-2-Chicago-IL-60618/89947513_zpid/,"$137,162","$210,000",60618,2 beds,,IL,2955 N Kedzie Ave #2,1 bath,900 sqft,
Dundee,http://www.zillow.com/homedetails/5151-Elm-Rd-Dundee-NY-14837/53800742_zpid/,"$238,210","$349,900",14837,4 beds,,NY,5151 Elm Rd,2 baths,"1,200 sqft",(607) 426-3176 
Chicago,http://www.zillow.com/homedetails/2358-S-Marshall-Blvd-R2-Chicago-IL-60623/2104744843_zpid/,"$135,135","$87,237",60623,1 bed,,IL,2358 S Marshall Blvd # R2,1 bath,750 sqft,(541) 619-5571 
Canadensis,http://www.zillow.com/homedetails/4874-Route-447-Canadensis-PA-18325/9788016_zpid/,"$144,754","$219,000",18325,5 beds,,PA,4874 Route 447,1.5 baths,"3,000 sqft",(845) 313-2616 
Blue Ash,http://www.zillow.com/homedetails/4536-Elsmere-Ave-Blue-Ash-OH-45242/34412237_zpid/,"$131,118","$119,000",45242,4 beds,,OH,4536 Elsmere Ave,1 bath,"1,202 sqft",(513) 984-2137 
Airmont,http://www.zillow.com/homedetails/66-New-County-Rd-Airmont-NY-10952/53429499_zpid/,"$471,884","$498,000",10952,5 beds,,NY,66 New County Rd,2 baths,"1,946 sqft",(845) 352-2782 
Home,http://www.zillow.com/homedetails/2829-Route-119-Hwy-N-Home-PA-15747/113318253_zpid/,,"$275,000",15747,,,PA,2829 Route 119 Hwy N,,,(724) 422-5073 
New Hyde Park,http://www.zillow.com/homedetails/1775-Belmont-Ave-New-Hyde-Park-NY-11040/31097092_zpid/,"$406,805","$659,000",11040,4 beds,,NY,1775 Belmont Ave,2 baths,"1,499 sqft",(845) 849-5498 
Rochester,http://www.zillow.com/homedetails/159-Salisbury-St-Rochester-NY-14609/30871868_zpid/,"$75,364","$79,900",14609,3 beds,,NY,159 Salisbury St,1 bath,"1,504 sqft",(585) 797-9396 
Dayton,http://www.zillow.com/homedetails/212-Fillmore-St-214-Dayton-OH-45410/35081347_zpid/,"$57,078","$37,400",45410,5 beds,,OH,212 Fillmore St # 214,3 baths,"1,938 sqft",(518) 400-2784 
Tinley Park,http://www.zillow.com/homedetails/16036-84th-Pl-Tinley-Park-IL-60487/4192933_zpid/,"$257,608","$239,000",60487,3 beds,,IL,16036 84th Pl,2 baths,"1,340 sqft",
Decatur,http://www.zillow.com/homedetails/2852-Grove-Ct-Decatur-IL-62521/91368086_zpid/,"$86,754","$118,900",62521,2 beds,,IL,2852 Grove Ct,1.75 baths,"1,600 sqft",(217) 855-7888 
Eynon,http://www.zillow.com/homedetails/111-East-St-Eynon-PA-18403/9533854_zpid/,"$95,922","$150,000",18403,3 beds,,PA,111 East St,2 baths,"1,709 sqft",(570) 780-7053 
Toledo,http://www.zillow.com/homedetails/1465-N-Superior-St-Toledo-OH-43604/34652923_zpid/,"$77,982","$65,000",43604,2 beds,,OH,1465 N Superior St,1 bath,"2,880 sqft",
Round Lake,http://www.zillow.com/homedetails/44-Burlington-Ave-Round-Lake-NY-12151/32437312_zpid/,"$169,800","$162,000",12151,3 beds,,NY,44 Burlington Ave,2 baths,"1,402 sqft",(518) 764-8001 
Urbana,http://www.zillow.com/homedetails/1901-Golfview-Dr-Urbana-IL-61801/3235395_zpid/,"$412,698","$465,000",61801,4 beds,,IL,1901 Golfview Dr,4 baths,"3,390 sqft",(217) 344-4242 
Sikeston,http://www.zillow.com/homedetails/577-Park-Avenue-Sikeston-MO-63801/2103654658_zpid/,"$127,742","$185,000",63801,4 beds,,MO,577 Park Avenue,2 baths,"2,100 sqft",(573) 380-8228 
Lebanon,http://www.zillow.com/homedetails/7-Walnut-St-Lebanon-PA-17042/93644429_zpid/,"$79,033","$86,000",17042,4 beds,,PA,7 Walnut St,1.5 baths,"1,280 sqft",(717) 383-7451 
Cedarville,http://www.zillow.com/homedetails/32-Regency-Dr-Cedarville-OH-45314/34181422_zpid/,"$159,909","$184,900",45314,4 beds,,OH,32 Regency Dr,2.5 baths,"2,095 sqft",(937) 766-4887 
Vowinckel,http://www.zillow.com/homedetails/5456-Forest-Road-Vowinckel-PA-16260/2101320852_zpid/,"$164,172","$79,000",16260,2 beds,,PA,5456 Forest Road,1 bath,-- sqft,(440) 567-4973 
Putnam Valley,http://www.zillow.com/homedetails/71-Starview-Ave-Putnam-Valley-NY-10579/31925360_zpid/,"$247,733","$248,500",10579,2 beds,,NY,71 Starview Ave,2 baths,"1,170 sqft",(917) 224-2144 
Whitehall,http://www.zillow.com/homedetails/3154-N-Front-St-Whitehall-PA-18052/9673219_zpid/,"$203,621","$199,900",18052,4 beds,,PA,3154 N Front St,3 baths,"2,843 sqft",(610) 393-1801 
Pittsburgh,http://www.zillow.com/homedetails/3329-Juliet-St-Pittsburgh-PA-15213/11413570_zpid/,"$155,062","$220,000",15213,3 beds,,PA,3329 Juliet St,1 bath,"1,252 sqft",(412) 621-7863 
Chicago,http://www.zillow.com/homedetails/2358-S-Marshall-Blvd-R3-Chicago-IL-60623/2114353928_zpid/,"$152,052","$7,500",60623,Studio,,IL,2358 S Marshall Blvd # R3,1 bath,900 sqft,(312) 890-7155 
Steelton,http://www.zillow.com/homedetails/223-Pine-St-Steelton-PA-17113/86465072_zpid/,"$109,011","$129,900",17113,7 beds,,PA,223 Pine St,3 baths,"3,307 sqft",(717) 623-7045 
West Chester,http://www.zillow.com/homedetails/144-Weedon-Ct-West-Chester-PA-19380/9174830_zpid/,"$208,744","$239,900",19380,3 beds,,PA,144 Weedon Ct,1.5 baths,"1,540 sqft",(610) 363-6215 
Excelsior Springs,http://www.zillow.com/homedetails/14797-State-Hwy-Y-Excelsior-Springs-MO-64024/2103122513_zpid/,"$145,895","$87,000",64024,3 beds,,MO,14797 State Hwy # Y,2 baths,"1,456 sqft",
Queens,http://www.zillow.com/homedetails/241-41-86-Ave-Bellrose-Queens-NY-11426/2100772650_zpid/,"$710,267","$999,000",11426,6 beds,,NY,241-41 86 Ave Bellrose,5 baths,-- sqft,(516) 603-8938 
New York,http://www.zillow.com/homedetails/409-Edgecombe-Ave-APT-6I-New-York-NY-10032/82382003_zpid/,"$549,001","$359,000",10032,1 bed,,NY,409 Edgecombe Ave APT 6I,1 bath,900 sqft,
