city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Fresh Meadows,http://www.zillow.com/homedetails/73-48-195-St-Fresh-Meadows-NY-11366/2102112494_zpid/,"$830,155 ","$799,000 ",11366,3 beds,,NY,73-48 195 St.,2 baths,"1,818 sqft",(646) 982-8841 
Bohemia,http://www.zillow.com/homedetails/1169-Walnut-Ave-Bohemia-NY-11716/59627289_zpid/,"$380,882 ","$390,000 ",11716,4 beds,,NY,1169 Walnut Ave,2 baths,"2,513 sqft",(631) 433-6099 
Utica,http://www.zillow.com/homedetails/1155-Tilden-Ave-Utica-NY-13501/31578912_zpid/,"$117,556 ","$159,900 ",13501,5 beds,,NY,1155 Tilden Ave,2 baths,"2,200 sqft",(315) 580-2927 
Briarwood,http://www.zillow.com/homedetails/84-01-Main-St-311-Briarwood-NY-11435/2102029716_zpid/,"$347,287 ","$249,000 ",11435,2 beds,,NY,84-01 Main St #311,1 bath,"1,000 sqft",(917) 495-5999 
Schenectady,http://www.zillow.com/homedetails/1665-67-Avenue-A-Schenectady-NY-12308/2102065927_zpid/,"$72,754 ","$118,000 ",12308,4 beds,,NY,1665-67 Avenue A,2 baths,"2,544 sqft",
Yonkers,http://www.zillow.com/homedetails/7-Balint-Dr-APT-510-Yonkers-NY-10710/2101974774_zpid/,"$235,684 ","$180,000 ",10710,2 beds,,NY,7 Balint Dr APT 510,1 bath,"1,100 sqft",
Chazy,http://www.zillow.com/homedetails/4-Old-Station-Dr-Chazy-NY-12921/29939684_zpid/,"$143,497 ","$149,999 ",12921,4 beds,,NY,4 Old Station Dr,2 baths,"2,133 sqft",(561) 213-6202 
Middle Grove,http://www.zillow.com/homedetails/547-N-End-Rd-Middle-Grove-NY-12850/2101962143_zpid/,"$178,112 ","$300,000 ",12850,2 beds,,NY,547 N End Rd,2 baths,"1,420 sqft",
Queens,http://www.zillow.com/homedetails/603-Beach-63-St-Queens-NY-11692/2101973152_zpid/,"$403,343 ","$420,000 ",11692,7 beds,,NY,603 Beach 63 St,4 baths,"2,200 sqft",(917) 957-0903 
Hudson Falls,http://www.zillow.com/homedetails/21-North-St-Hudson-Falls-NY-12839/32899676_zpid/,"$78,100 ","$122,000 ",12839,3 beds,,NY,21 North St,1.5 baths,"1,056 sqft",(518) 376-5895 
East Durham,http://www.zillow.com/homedetails/1332-Route-20-East-Durham-NY-12423/30500575_zpid/,"$236,010 ","$195,000 ",12423,4 beds,,NY,1332 Route 20,3 baths,"3,280 sqft",(518) 622-3238 
Freeport,http://www.zillow.com/homedetails/3-Noon-Pl-Freeport-NY-11520/31412148_zpid/,"$424,667 ","$339,000 ",11520,4 beds,,NY,3 Noon Pl,2.5 baths,"2,321 sqft",(718) 755-4233 
White Plains,http://www.zillow.com/homedetails/20-North-Broadway-White-Plains-NY-10601/2103700090_zpid/,"$229,513 ","$334,900 ",10601,2 beds,,NY,20 North Broadway,1 bath,"1,200 sqft",(347) 242-7880 
Angelica,http://www.zillow.com/homedetails/7461-Peavy-Rd-Angelica-NY-14709/29623016_zpid/,"$139,634 ","$265,000 ",14709,4 beds,,NY,7461 Peavy Rd,2 baths,"2,592 sqft",(716) 238-3279 
Cooperstown,http://www.zillow.com/homedetails/179-Chase-Rd-Cooperstown-NY-13326/2112018594_zpid/,"$339,050 ","$325,000 ",13326,2 beds,,NY,179 Chase Rd,2 baths,"1,800 sqft",(512) 590-4709 
Queensbury,http://www.zillow.com/homedetails/9-Lester-Dr-Queensbury-NY-12804/32929948_zpid/,"$194,699 ","$229,000 ",12804,4 beds,,NY,9 Lester Dr,2 baths,"2,099 sqft",(518) 232-4728 
Manhasset,http://www.zillow.com/homedetails/26-Hemlock-Rd-Manhasset-NY-11030/31083854_zpid/,"$2,000,580 ","$2,275,000 ",11030,5 beds,,NY,26 Hemlock Rd,5 baths,"4,773 sqft",
Williston Park,http://www.zillow.com/homedetails/77-Lafayette-St-Williston-Park-NY-11596/31104168_zpid/,"$625,396 ","$599,000 ",11596,3 beds,,NY,77 Lafayette St,2 baths,"1,760 sqft",(347) 280-0158 
New York,http://www.zillow.com/homedetails/211-Thompson-St-APT-2N-New-York-NY-10012/89134613_zpid/,"$734,313 ","$595,000 ",10012,Studio,,NY,211 Thompson St APT 2N,1 bath,450 sqft,
Huntington,http://www.zillow.com/homedetails/10-Warner-Ct-Huntington-NY-11743/59585831_zpid/,"$848,141 ","$799,000 ",11743,5 beds,,NY,10 Warner Ct,3 baths,"2,800 sqft",(631) 988-9620 
East Hampton,http://www.zillow.com/homedetails/12-Norfolk-Dr-East-Hampton-NY-11937/32654016_zpid/,"$531,641 ","$449,000 ",11937,2 beds,,NY,12 Norfolk Dr,1 bath,"1,500 sqft",(516) 477-9097 
Cutchogue,http://www.zillow.com/homedetails/4800-Nassau-Point-Rd-Cutchogue-NY-11935/32756579_zpid/,,"$1,300,000 ",11935,4 beds,,NY,4800 Nassau Point Rd,5 baths,"3,000 sqft",(347) 804-5017 
Huntington,http://www.zillow.com/homedetails/23-Bellaire-Dr-Huntington-NY-11743/59565311_zpid/,"$494,528 ","$500,000 ",11743,4 beds,,NY,23 Bellaire Dr,3 baths,"1,980 sqft",(631) 339-0029 
Clinton,http://www.zillow.com/homedetails/7-Cherrywood-Blvd-Clinton-NY-13323/31597581_zpid/,"$90,285 ","$119,900 ",13323,2 beds,,NY,7 Cherrywood Blvd,2 baths,"1,350 sqft",(315) 853-8519 
Petersburgh,http://www.zillow.com/homedetails/133-N-Shore-Rd-Petersburgh-NY-12138/32250804_zpid/,"$151,363 ","$149,900 ",12138,2 beds,,NY,133 N Shore Rd,1 bath,"1,156 sqft",(518) 852-7746 
Staten Island,http://www.zillow.com/homedetails/30-Lillie-Ln-Staten-Island-NY-10314/32313329_zpid/,"$408,360 ","$439,000 ",10314,3 beds,,NY,30 Lillie Ln,4 baths,"1,448 sqft",(917) 653-2605 
Windham,http://www.zillow.com/homedetails/5088-State-Route-23-Windham-NY-12496/2102546926_zpid/,"$991,821 ","$600,000 ",12496,8 beds,,NY,5088 State Route 23,6 baths,"5,000 sqft",
Stormville,http://www.zillow.com/homedetails/Stormville-Stormville-NY-12582/2102582255_zpid/,"$417,503 ","$549,000 ",12582,4 beds,,NY,Stormville,2.5 baths,"3,236 sqft",(845) 245-8181 
Valley Cottage,http://www.zillow.com/homedetails/2-Kings-Ct-Valley-Cottage-NY-10989/53404141_zpid/,"$575,487 ","$575,000 ",10989,5 beds,,NY,2 Kings Ct,3 baths,"4,100 sqft",(845) 480-0582 
East Chatham,http://www.zillow.com/homedetails/1135-State-Route-295-East-Chatham-NY-12060/2102462981_zpid/,,"$245,000 ",12060,3 beds,,NY,1135 State Route 295,2 baths,"4,106 sqft",(727) 560-6042 
Jamaica,http://www.zillow.com/homedetails/115-70-Newburgh-Street-Jamaica-NY-11412/2102661002_zpid/,"$576,348 ","$609,999 ",11412,6 beds,,NY,115-70 Newburgh Street,3 baths,"1,240 sqft",(718) 441-0200 
Shirley,http://www.zillow.com/homedetails/166-Baybright-Dr-E-Shirley-NY-11967/2131619062_zpid/,"$290,593 ","$229,900 ",11967,5 beds,,NY,166 Baybright Dr E,3 baths,#NAME?,(516) 318-9549 
Croton On Hudson,http://www.zillow.com/homedetails/1-Sassi-Dr-Croton-On-Hudson-NY-10520/58417271_zpid/,"$605,331 ","$819,000 ",10520,4 beds,,NY,1 Sassi Dr,3 baths,"3,200 sqft",
Fair Haven,http://www.zillow.com/homedetails/14529-Fancher-Ave-Fair-Haven-NY-13064/30051944_zpid/,"$353,967 ","$449,900 ",13064,3 beds,,NY,14529 Fancher Ave,2.5 baths,"1,900 sqft",(315) 947-6800 
Chateaugay,http://www.zillow.com/homedetails/210-E-Main-St-Chateaugay-NY-12920/30442123_zpid/,"$54,273 ","$69,900 ",12920,3 beds,,NY,210 E Main St,1.5 baths,"1,466 sqft",(518) 310-1520 
East Hampton,http://www.zillow.com/homedetails/6-Stirrup-Ct-East-Hampton-NY-11937/32665541_zpid/,"$1,716,907 ","$1,595,000 ",11937,4 beds,,NY,6 Stirrup Ct,3 baths,"3,270 sqft",(631) 283-2823 
Freeport,http://www.zillow.com/homedetails/292-Locust-Ave-Freeport-NY-11520/31366123_zpid/,"$412,456 ","$459,000 ",11520,4 beds,,NY,292 Locust Ave,1.5 baths,"2,500 sqft",
Stamford,http://www.zillow.com/homedetails/28647-State-Highway-23-Stamford-NY-12167/2107538362_zpid/,"$231,058 ","$155,500 ",12167,3 beds,,NY,28647 State Highway 23,2 baths,"1,500 sqft",(607) 652-2614 
Walden,http://www.zillow.com/homedetails/710-State-Route-52-Walden-NY-12586/31834088_zpid/,"$330,959 ","$465,000 ",12586,5 beds,,NY,710 State Route 52,3.5 baths,"3,152 sqft",(845) 591-4724 
Brooklyn,http://www.zillow.com/homedetails/10011-Avenue-N-Brooklyn-NY-11236/2116771050_zpid/,,"$459,000 ",11236,2 beds,,NY,10011 Avenue N,2 baths,"1,975 sqft",(917) 496-3974 
Alplaus,http://www.zillow.com/homedetails/33-Hill-St-Alplaus-NY-12008/32486898_zpid/,"$254,052 ","$255,000 ",12008,5 beds,,NY,33 Hill St,3 baths,"2,554 sqft",(518) 384-1955 
Windham,http://www.zillow.com/homedetails/523-County-Route-21-Windham-NY-12496/30507662_zpid/,"$338,272 ","$399,000 ",12496,5 beds,,NY,523 County Route 21,3 baths,"3,200 sqft",(518) 821-8822 
Kingston,http://www.zillow.com/homedetails/129-Jansen-Ave-Kingston-NY-12401/2124144061_zpid/,,"$163,000 ",12401,6 beds,,NY,129 Jansen Ave,3 baths,"2,200 sqft",(845) 331-8258 
Lake Placid,http://www.zillow.com/homedetails/371-Mirror-Lake-Dr-Lake-Placid-NY-12946/30429595_zpid/,"$967,406 ","$825,000 ",12946,5 beds,,NY,371 Mirror Lake Dr,3 baths,"3,850 sqft",(518) 524-2595 
Paradox,http://www.zillow.com/homedetails/5-Fraternaland-Rd-Paradox-NY-12858/2105821487_zpid/,"$160,694 ","$104,900 ",12858,3 beds,,NY,5 Fraternaland Rd,1 bath,"1,400 sqft",(315) 345-8134 
Sharon Springs,http://www.zillow.com/homedetails/173-177-Main-St-Sharon-Springs-NY-13459/2104956415_zpid/,"$149,100 ","$250,000 ",13459,6 beds,,NY,173-177 Main St,4 baths,"4,500 sqft",(518) 282-4774 
Brooklyn,http://www.zillow.com/homedetails/Sheepshead-Bay-Brooklyn-NY-11235/2104957216_zpid/,"$415,259 ","$165,000 ",11235,2 beds,,NY,Sheepshead Bay,1 bath,900 sqft,(917) 586-2816 
Lake Placid,http://www.zillow.com/homedetails/205-Mckinley-St-Lake-Placid-NY-12946/30426479_zpid/,"$185,108 ","$215,000 ",12946,3 beds,,NY,205 Mckinley St,1 bath,"1,200 sqft",(609) 731-3972 
Darien Center,http://www.zillow.com/homedetails/10325-Harper-Rd-Darien-Center-NY-14040/30482212_zpid/,"$247,833 ","$254,900 ",14040,3 beds,,NY,10325 Harper Rd,3 baths,"3,150 sqft",(585) 356-2811 
Buffalo,http://www.zillow.com/homedetails/132-Burgard-Pl-Buffalo-NY-14211/30195510_zpid/,"$41,236 ","$45,000 ",14211,4 beds,,NY,132 Burgard Pl,1 bath,"1,449 sqft",(647) 606-1187 
Center Moriches,http://www.zillow.com/homedetails/229-Chichester-Ave-Center-Moriches-NY-11934/59518780_zpid/,"$258,282 ","$299,999 ",11934,3 beds,,NY,229 Chichester Ave,1 bath,"1,200 sqft",(516) 924-1007 
Roscoe,http://www.zillow.com/homedetails/1149-Hankins-Rd-Roscoe-NY-12776/2134341814_zpid/,"$327,938 ","$239,900 ",12776,3 beds,,NY,1149 Hankins Rd,3 baths,"1,608 sqft",(917) 439-3010 
Hartsdale,http://www.zillow.com/homedetails/100-High-Point-Dr-APT-406-Hartsdale-NY-10530/2114089126_zpid/,"$273,141 ","$299,000 ",10530,1 bed,,NY,100 High Point Dr APT 406,1 bath,"1,000 sqft",(914) 471-7778 
Brooklyn,http://www.zillow.com/homedetails/540-Ocean-Pkwy-APT-6B-Brooklyn-NY-11218/79716160_zpid/,"$465,875 ","$430,000 ",11218,2 beds,,NY,540 Ocean Pkwy APT 6B,1 bath,"1,050 sqft",(347) 628-1162 
Staten Island,http://www.zillow.com/homedetails/210-Holden-Blvd-Staten-Island-NY-10314/2146489430_zpid/,,"$585,000 ",10314,5 beds,,NY,210 Holden Blvd,3 baths,"4,000 sqft",(732) 345-1883 
Syracuse,http://www.zillow.com/homedetails/207-Brookford-Rd-Syracuse-NY-13224/31668291_zpid/,"$212,247 ","$205,000 ",13224,3 beds,,NY,207 Brookford Rd,3 baths,"1,900 sqft",(315) 516-4663 
Yonkers,http://www.zillow.com/homedetails/49-Delano-Ave-Yonkers-NY-10704/2103952816_zpid/,"$359,710 ","$525,000 ",10704,3 beds,,NY,49 Delano Ave,2 baths,"1,218 sqft",(914) 885-4079 
New Hyde Park,http://www.zillow.com/homedetails/22-Tenafly-Dr-New-Hyde-Park-NY-11040/31110239_zpid/,"$554,368 ","$649,000 ",11040,4 beds,,NY,22 Tenafly Dr,2 baths,"1,322 sqft",(516) 858-2184 
Jamaica,http://www.zillow.com/homedetails/9238-77th-St-Jamaica-NY-11421/32109041_zpid/,"$380,972 ","$489,000 ",11421,3 beds,,NY,9238 77th St,2 baths,"1,140 sqft",(347) 995-5328 
Middle Island,http://www.zillow.com/homedetails/19-Flicker-Dr-Middle-Island-NY-11953/59485461_zpid/,"$285,281 ","$395,000 ",11953,3 beds,,NY,19 Flicker Dr,2.5 baths,"1,860 sqft",(631) 484-5658 
Richmond Hill,http://www.zillow.com/homedetails/10122-121st-Street-Richmond-Hill-NY-11419/2101323014_zpid/,"$631,100 ","$649,999 ",11419,6 beds,,NY,10122 121st Street,3 baths,#NAME?,(917) 705-0410 
Little Neck,http://www.zillow.com/homedetails/25220-63rd-Ave-Little-Neck-NY-11362/79515210_zpid/,"$153,758 ","$188,000 ",11362,1 bed,,NY,25220 63rd Ave,1 bath,#NAME?,
Woodbourne,http://www.zillow.com/homedetails/6-Kahn-Dr-Woodbourne-NY-12788/32767457_zpid/,"$156,464 ","$149,000 ",12788,3 beds,,NY,6 Kahn Dr,3 baths,"2,178 sqft",(787) 590-2807 
Yonkers,http://www.zillow.com/homedetails/355-Bronx-River-Rd-APT-1H-Yonkers-NY-10704/2139000911_zpid/,"$155,182 ","$189,900 ",10704,2 beds,,NY,355 Bronx River Rd APT 1H,1 bath,900 sqft,
Far Rockaway,http://www.zillow.com/homedetails/429-Beach-141st-St-Far-Rockaway-NY-11694/32228400_zpid/,"$714,299 ","$935,000 ",11694,3 beds,,NY,429 Beach 141st St,2.5 baths,"1,755 sqft",(917) 833-5069 
Schenectady,http://www.zillow.com/homedetails/38-Cindy-Crest-Dr-Schenectady-NY-12306/32501680_zpid/,"$284,088 ","$259,900 ",12306,4 beds,,NY,38 Cindy Crest Dr,2 baths,"3,089 sqft",(518) 423-7514 
Rosedale,http://www.zillow.com/homedetails/24512-134-Ave-Rosedale-NY-11422/2100478031_zpid/,,"$520,000 ",11422,5 beds,,NY,24512 134 Ave,7 baths,#NAME?,(516) 902-2326 
Bronx,http://www.zillow.com/homedetails/(Undisclosed-Address)-Bronx-NY-10458/2100475452_zpid/,,"$419,000 ",10458,9 beds,,NY,(Undisclosed Address),4 baths,#NAME?,(914) 233-4409 
Katonah,http://www.zillow.com/homedetails/25-Fisher-Ln-Katonah-NY-10536/33007421_zpid/,"$472,118 ","$359,999 ",10536,3 beds,,NY,25 Fisher Ln,1 bath,900 sqft,(914) 755-8836 
Bronx,http://www.zillow.com/homedetails/72C-Edgewater-Park-C-Bronx-NY-10465/2128349333_zpid/,"$186,662 ","$125,000 ",10465,2 beds,,NY,72C Edgewater Park # C,1 bath,900 sqft,
Mannsville,http://www.zillow.com/homedetails/9619-Renshaw-Bay-Rd-Mannsville-NY-13661/30551993_zpid/,"$132,092 ","$80,000 ",13661,4 beds,,NY,9619 Renshaw Bay Rd,1 bath,"1,700 sqft",(315) 387-9936 
Monticello,http://www.zillow.com/homedetails/1-Alva-Ln-Monticello-NY-12701/32783207_zpid/,"$120,684 ","$134,000 ",12701,3 beds,,NY,1 Alva Ln,#NAME?,"2,149 sqft",(917) 848-6528 
Schenectady,http://www.zillow.com/homedetails/513-Chadwick-Rd-Schenectady-NY-12304/32477153_zpid/,"$148,360 ","$156,000 ",12304,4 beds,,NY,513 Chadwick Rd,2 baths,"2,228 sqft",(518) 528-1571 
Saugerties,http://www.zillow.com/homedetails/104-Park-Pl-Saugerties-NY-12477/63860098_zpid/,"$252,462 ","$198,000 ",12477,3 beds,,NY,104 Park Pl,2 baths,"1,900 sqft",(845) 247-9450 
North Branch,http://www.zillow.com/homedetails/10-Ryan-Rd-North-Branch-NY-12766/32762983_zpid/,"$250,604 ","$289,000 ",12766,3 beds,,NY,10 Ryan Rd,2.5 baths,"3,000 sqft",(845) 482-5259 
Long Lake,http://www.zillow.com/homedetails/965-Deerland-Rd-Long-Lake-NY-12847/2111688169_zpid/,"$766,769 ","$475,000 ",12847,4 beds,,NY,965 Deerland Rd,4 baths,"4,416 sqft",(518) 624-5825 
East Hampton,http://www.zillow.com/homedetails/12-Cutter-Ct-East-Hampton-NY-11937/32665569_zpid/,"$1,198,902 ","$1,550,000 ",11937,4 beds,,NY,12 Cutter Ct,3.5 baths,"2,130 sqft",(914) 806-4046 
Hillsdale,http://www.zillow.com/homedetails/9356-Rt-22-Hillsdale-NY-12529/2106884499_zpid/,"$501,158 ","$320,000 ",12529,4 beds,,NY,9356 Rt. # 22,3 baths,"3,260 sqft",(518) 929-3686 
Elmira,http://www.zillow.com/homedetails/307-W-Hill-Road-A-Elmira-NY-14903/29962753_zpid/,"$178,385 ","$169,000 ",14903,3 beds,,NY,307 W Hill Road A,2 baths,"1,804 sqft",(754) 422-8243 
Randolph,http://www.zillow.com/homedetails/43-Jamestown-St-Randolph-NY-14772/29881230_zpid/,"$133,617 ","$134,900 ",14772,5 beds,,NY,43 Jamestown St,2.5 baths,"3,552 sqft",(713) 775-5018 
Chicago,http://www.zillow.com/homedetails/5527-W-Adams-St-Chicago-IL-60644/3812461_zpid/,"$112,972 ","$149,900 ",60644,4 beds,,IL,5527 W Adams St,2.5 baths,"2,080 sqft",(630) 670-8928 
Elgin,http://www.zillow.com/homedetails/1081-Quaker-Hill-Ct-Elgin-IL-60120/3380395_zpid/,"$180,274 ","$158,000 ",60120,2 beds,,IL,1081 Quaker Hill Ct,2 baths,"1,473 sqft",(630) 484-5638 
Olney,http://www.zillow.com/homedetails/530-N-Ludlow-St-Olney-IL-62450/115734599_zpid/,"$82,728 ","$137,000 ",62450,3 beds,,IL,530 N Ludlow St,2 baths,"2,300 sqft",(217) 821-5776 
Springfield,http://www.zillow.com/homedetails/2409-S-College-St-Springfield-IL-62704/75518280_zpid/,"$78,641 ","$103,900 ",62704,3 beds,,IL,2409 S College St,1 bath,"1,020 sqft",(217) 899-3523 
Saratoga Springs,http://www.zillow.com/homedetails/218-220-East-Ave-Saratoga-Springs-NY-12866/32404103_zpid/,"$637,710 ","$556,000 ",12866,6 beds,,NY,218-220 East Ave,3 baths,"3,119 sqft",(516) 729-4412 
Barrington,http://www.zillow.com/homedetails/219-George-St-Barrington-IL-60010/3242609_zpid/,"$315,940 ","$287,000 ",60010,4 beds,,IL,219 George St,2 baths,"2,152 sqft",(847) 924-0318 
Carlinville,http://www.zillow.com/homedetails/210-W-2nd-South-St-Carlinville-IL-62626/2100634216_zpid/,"$44,998 ","$75,000 ",62626,2 beds,,IL,210 W. 2nd South St,1 bath,"1,143 sqft",(217) 320-1034 
South Holland,http://www.zillow.com/homedetails/16259-State-St-South-Holland-IL-60473/4268190_zpid/,"$74,280 ","$94,000 ",60473,3 beds,,IL,16259 State St,1 bath,825 sqft,(708) 740-0010 
Purchase,http://www.zillow.com/homedetails/25-New-St-Purchase-NY-10577/33039186_zpid/,"$1,004,863 ","$849,000 ",10577,4 beds,,NY,25 New St,2 baths,"2,338 sqft",(914) 618-4848 
Maryville,http://www.zillow.com/homedetails/1118-Jacquelyn-Ct-Maryville-IL-62062/4933807_zpid/,"$139,509 ","$159,800 ",62062,3 beds,,IL,1118 Jacquelyn Ct,2 baths,"1,548 sqft",(217) 827-0349 
Alhambra,http://www.zillow.com/homedetails/301-East-North-St-Alhambra-IL-62001/2100638405_zpid/,"$106,962 ","$109,900 ",62001,3 beds,,IL,301 East North St.,1 bath,"1,378 sqft",(618) 779-9376 
Elgin,http://www.zillow.com/homedetails/677-N-Crystal-St-Elgin-IL-60123/4628411_zpid/,"$124,958 ","$175,000 ",60123,3 beds,,IL,677 N Crystal St,2 baths,"1,350 sqft",(847) 875-9418 
Chicago,http://www.zillow.com/homedetails/626-E-Oakwood-Blvd-Chicago-IL-60653/70423070_zpid/,"$412,287 ","$475,000 ",60653,4 beds,,IL,626 E Oakwood Blvd,4 baths,"3,200 sqft",(312) 508-8933 
Libertyville,http://www.zillow.com/homedetails/620-W-Golf-Rd-Libertyville-IL-60048/4842886_zpid/,"$504,343 ","$539,900 ",60048,4 beds,,IL,620 W Golf Rd,3 baths,"2,656 sqft",(847) 828-2402 
Chicago,http://www.zillow.com/homedetails/2-E-Oak-St-APT-2503-Chicago-IL-60611/3847519_zpid/,"$163,665 ","$249,900 ",60611,1 bed,,IL,2 E Oak St APT 2503,1 bath,650 sqft,(773) 983-7014 
Hoffman Estates,http://www.zillow.com/homedetails/365-Oaktree-Ct-Hoffman-Estates-IL-60169/3408128_zpid/,"$166,441 ","$210,000 ",60169,3 beds,,IL,365 Oaktree Ct,2 baths,"1,384 sqft",(224) 805-9569 
Kankakee,http://www.zillow.com/homedetails/1336-Circle-Dr-NW-Kankakee-IL-60901/76948352_zpid/,"$101,950 ","$108,000 ",60901,3 beds,,IL,1336 Circle Dr NW,1 bath,"1,038 sqft",(708) 259-7608 
East Moline,http://www.zillow.com/homedetails/327-43rd-Ave-East-Moline-IL-61244/70492094_zpid/,"$170,637 ","$189,900 ",61244,5 beds,,IL,327 43rd Ave,3 baths,"2,918 sqft",(815) 616-2491 
Rock Island,http://www.zillow.com/homedetails/110-19th-St-STE-210-Rock-Island-IL-61201/110560665_zpid/,"$151,175 ","$155,000 ",61201,1 bed,,IL,110 19th St STE 210,2 baths,"1,286 sqft",(309) 738-3106 
Hoffman Estates,http://www.zillow.com/homedetails/4498-Harbor-Cir-Hoffman-Estates-IL-60192/3245126_zpid/,"$278,982 ","$282,000 ",60192,3 beds,,IL,4498 Harbor Cir,2 baths,"1,500 sqft",(201) 478-2545 
Galesburg,http://www.zillow.com/homedetails/1193-N-Prairie-St-Galesburg-IL-61401/116064651_zpid/,"$64,913 ","$75,000 ",61401,2 beds,,IL,1193 N Prairie St,1 bath,846 sqft,(309) 368-9684 
Bronx,http://www.zillow.com/homedetails/2184-Virgil-Pl-Bronx-NY-10473/2100944816_zpid/,"$534,531 ","$649,000 ",10473,7 beds,,NY,2184 Virgil Pl,3 baths,"3,026 sqft",
Delhi,http://www.zillow.com/homedetails/63-Lee-Hollow-Rd-Delhi-NY-13753/30056488_zpid/,"$130,065 ","$192,000 ",13753,3 beds,,NY,63 Lee Hollow Rd,2.5 baths,"1,490 sqft",(607) 765-4843 
East Syracuse,http://www.zillow.com/homedetails/114-Revere-Ave-East-Syracuse-NY-13057/31722668_zpid/,"$105,115 ","$119,950 ",13057,3 beds,,NY,114 Revere Ave,2 baths,"1,450 sqft",(315) 278-8778 
Cheektowaga,http://www.zillow.com/homedetails/23-Hunting-Rd-Cheektowaga-NY-14215/30280732_zpid/,"$214,177 ","$189,000 ",14215,4 beds,,NY,23 Hunting Rd,4 baths,"2,793 sqft",
Amherst,http://www.zillow.com/homedetails/197-Washington-Hwy-Amherst-NY-14226/30265138_zpid/,"$249,107 ","$375,000 ",14226,4 beds,,NY,197 Washington Hwy,3 baths,"2,667 sqft",(716) 239-6004 
Spencerport,http://www.zillow.com/homedetails/4810-Lyell-Rd-Spencerport-NY-14559/30992277_zpid/,"$124,083 ","$135,900 ",14559,3 beds,,NY,4810 Lyell Rd,2 baths,"1,364 sqft",(585) 451-5987 
Valley Stream,http://www.zillow.com/homedetails/124-Judith-Ln-Valley-Stream-NY-11580/31238981_zpid/,"$397,882 ","$399,000 ",11580,3 beds,,NY,124 Judith Ln,1.5 baths,"1,577 sqft",(516) 314-2234 
Swan Lake,http://www.zillow.com/homedetails/905-Briscoe-Rd-Swan-Lake-NY-12783/32775108_zpid/,"$202,503 ","$250,000 ",12783,4 beds,,NY,905 Briscoe Rd,2 baths,"2,500 sqft",(845) 866-2032 
Bronx,http://www.zillow.com/homedetails/83-D-Edgewater-Park-Bronx-NY-10465/2100856853_zpid/,,"$285,000 ",10465,3 beds,,NY,83-D Edgewater Park,1.5 baths,"1,300 sqft",(347) 231-0376 
Hamburg,http://www.zillow.com/homedetails/4288-Glenwillow-Dr-Hamburg-NY-14075/30339801_zpid/,"$147,086 ","$149,900 ",14075,3 beds,,NY,4288 Glenwillow Dr,2 baths,"1,212 sqft",(716) 648-9695 
Croton On Hudson,http://www.zillow.com/homedetails/198-Colabaugh-Pond-Rd-Croton-On-Hudson-NY-10520/58417880_zpid/,"$651,933 ","$555,000 ",10520,2 beds,,NY,198 Colabaugh Pond Rd,3 baths,"2,700 sqft",
Staten Island,http://www.zillow.com/homedetails/175-Zoe-St-APT-6R-Staten-Island-NY-10305/32328881_zpid/,"$227,378 ","$279,000 ",10305,1 bed,,NY,175 Zoe St APT 6R,2 baths,810 sqft,(646) 423-8309 
Monroeville,http://www.zillow.com/homedetails/14607-Houk-Rd-Monroeville-IN-46773/73197577_zpid/,,"$600,000 ",46773,4 beds,,IN,14607 Houk Rd,4 baths,"5,800 sqft",
Queens,http://www.zillow.com/homedetails/12314-Hillside-Avenue-Queens-NY-11418/2100496908_zpid/,,"$719,000 ",11418,7 beds,,NY,12314 Hillside Avenue,3 baths,#NAME?,(917) 805-4252 
Trail Creek,http://www.zillow.com/homedetails/440-Johnson-Rd-Trail-Creek-IN-46360/85520867_zpid/,"$169,725 ","$182,500 ",46360,4 beds,,IN,440 Johnson Rd,3 baths,"2,800 sqft",(219) 808-2780 
Queens,http://www.zillow.com/homedetails/12314-Hillside-Avenue-Queens-NY-11418/2100496818_zpid/,,"$719,000 ",11418,7 beds,,NY,12314 Hillside Avenue,3 baths,#NAME?,(917) 805-4252 
Indianapolis,http://www.zillow.com/homedetails/25-E-40th-St-APT-3K-Indianapolis-IN-46205/69392232_zpid/,"$93,213 ","$154,900 ",46205,2 beds,,IN,25 E 40th St APT 3K,2 baths,"1,448 sqft",(317) 478-0919 
Merrillville,http://www.zillow.com/homedetails/8760-Madison-St-Merrillville-IN-46410/73388331_zpid/,"$199,982 ","$172,500 ",46410,3 beds,,IN,8760 Madison St,2 baths,"3,410 sqft",(219) 613-9050 
Indianapolis,http://www.zillow.com/homedetails/6340-Lawrence-Dr-Indianapolis-IN-46226/1137813_zpid/,"$871,518 ","$750,000 ",46226,5 beds,,IN,6340 Lawrence Dr,6.5 baths,"5,600 sqft",(317) 752-9958 
Edinburgh,http://www.zillow.com/homedetails/110-N-Main-St-Edinburgh-IN-46124/85436289_zpid/,"$104,123 ","$110,000 ",46124,4 beds,,IN,110 N Main St,1.5 baths,"2,820 sqft",(812) 526-2317 
Terre Haute,http://www.zillow.com/homedetails/1042-E-Curry-Dr-Terre-Haute-IN-47802/77139774_zpid/,"$146,407 ","$184,900 ",47802,4 beds,,IN,1042 E Curry Dr,2.5 baths,"2,106 sqft",(812) 236-6726 
